eur_pln,usd_pln,chf_pln,rate_date
4.4586,4.0592,4.6398,2023-08-09
4.4650,4.0521,4.6402,2023-08-10
4.4547,4.0501,4.6199,2023-08-11
4.4361,4.0525,4.6212,2023-08-14
4.4621,4.0832,4.6507,2023-08-16
4.4681,4.1094,4.6730,2023-08-17
4.4869,4.1285,4.6897,2023-08-18
4.4768,4.1124,4.6718,2023-08-21
4.4648,4.0924,4.6632,2023-08-22
4.4834,4.1438,4.7067,2023-08-23
4.4730,4.1180,4.6830,2023-08-24
4.4674,4.1419,4.6767,2023-08-25
4.4716,4.1400,4.6821,2023-08-28
4.4690,4.1341,4.6725,2023-08-29
4.4740,4.1167,4.6807,2023-08-30
4.4684,4.1074,4.6636,2023-08-31
4.4762,4.1263,4.6742,2023-09-01
4.4653,4.1353,4.6767,2023-09-04
4.4764,4.1643,4.6910,2023-09-05
4.4974,4.1895,4.7086,2023-09-06
4.5940,4.2890,4.8067,2023-09-07
4.6019,4.2958,4.8225,2023-09-08
4.6209,4.3077,4.8313,2023-09-11
4.6836,4.3711,4.9015,2023-09-12
4.6402,4.3225,4.8403,2023-09-13
4.6285,4.3120,4.8261,2023-09-14
4.6307,4.3418,4.8481,2023-09-15
4.6377,4.3489,4.8519,2023-09-18
4.6458,4.3472,4.8505,2023-09-19
4.6529,4.3501,4.8483,2023-09-20
4.6210,4.3365,4.7809,2023-09-21
4.6069,4.3269,4.7752,2023-09-22
4.5892,4.3188,4.7470,2023-09-25
4.6077,4.3485,4.7657,2023-09-26
4.6065,4.3622,4.7590,2023-09-27
4.6340,4.4062,4.7973,2023-09-28
4.6356,4.3697,4.8030,2023-09-29
4.6091,4.3634,4.7869,2023-10-02
4.6147,4.4012,4.7848,2023-10-03
4.6303,4.4155,4.8065,2023-10-04
4.5974,4.3768,4.7683,2023-10-05
4.5998,4.3608,4.7768,2023-10-06
4.5793,4.3439,4.7704,2023-10-09
4.5581,4.2985,4.7537,2023-10-10
4.5183,4.2589,4.7174,2023-10-11
4.5329,4.2659,4.7398,2023-10-12
4.5417,4.3033,4.7470,2023-10-13
4.4804,4.2505,4.7085,2023-10-16
4.4389,4.2131,4.6676,2023-10-17
4.4488,4.2035,4.6753,2023-10-18
4.4529,4.2264,4.6989,2023-10-19
4.4675,4.2194,4.7328,2023-10-20
4.4552,4.2022,4.7083,2023-10-23
4.4604,4.1884,4.6974,2023-10-24
4.4758,4.2284,4.7236,2023-10-25
4.4708,4.2395,4.7123,2023-10-26
4.4642,4.2267,4.6935,2023-10-27
4.4491,4.2040,4.6546,2023-10-30
4.4475,4.1684,4.6227,2023-10-31
4.4582,4.1963,4.6466,2023-11-02
4.4569,4.1857,4.6293,2023-11-03
4.4615,4.1512,4.6322,2023-11-06
4.4513,4.1667,4.6283,2023-11-07
4.4584,4.1804,4.6343,2023-11-08
4.4413,4.1513,4.6100,2023-11-09
4.4227,4.1423,4.5905,2023-11-10
4.4336,4.1474,4.5975,2023-11-13
4.4163,4.1210,4.5720,2023-11-14
4.3900,4.0453,4.5495,2023-11-15
4.3854,4.0415,4.5452,2023-11-16
4.3767,4.0327,4.5427,2023-11-17
4.3680,3.9938,4.5248,2023-11-20
4.3647,3.9882,4.5106,2023-11-21
4.3804,4.0180,4.5433,2023-11-22
4.3658,3.9969,4.5274,2023-11-23
4.3722,4.0103,4.5348,2023-11-24
4.3543,3.9769,4.5120,2023-11-27
4.3542,3.9750,4.5175,2023-11-28
4.3327,3.9478,4.5031,2023-11-29
4.3492,3.9810,4.5510,2023-11-30
4.3494,3.9910,4.5670,2023-12-01
4.3337,3.9850,4.5678,2023-12-04
4.3233,3.9910,4.5689,2023-12-05
4.3382,4.0202,4.5982,2023-12-06
4.3334,4.0199,4.6027,2023-12-07
4.3303,4.0181,4.5913,2023-12-08
4.3366,4.0277,4.5824,2023-12-11
4.3396,4.0204,4.5810,2023-12-12
4.3309,4.0149,4.5827,2023-12-13
4.3053,3.9484,4.5328,2023-12-14
